tensor([-1.2872, -0.3137]) 	 tensor([2.7038])
tensor([-0.0060, -0.7767]) 	 tensor([6.8215])
tensor([-1.8778,  0.5339]) 	 tensor([-1.3710])
tensor([-0.2889, -0.6527]) 	 tensor([5.8478])
tensor([-0.4127, -0.6340]) 	 tensor([5.5309])
tensor([ 1.1220, -0.7492]) 	 tensor([8.9794])
tensor([ 0.7589, -0.2747]) 	 tensor([6.6400])
tensor([-0.0897, -0.2389]) 	 tensor([4.8292])
tensor([-0.8361,  0.6257]) 	 tensor([0.3792])
tensor([-1.0882,  0.6537]) 	 tensor([-0.2008])
tensor([ 0.5267, -1.1921]) 	 tensor([9.2990])
tensor([ 0.4640, -1.4131]) 	 tensor([9.9224])
tensor([-0.4824,  0.6973]) 	 tensor([0.8588])
tensor([-0.4741, -0.3296]) 	 tensor([4.3725])
tensor([0.5923, 0.9752]) 	 tensor([2.0581])
tensor([0.8951, 0.1353]) 	 tensor([5.5359])
tensor([ 0.7897, -0.0855]) 	 tensor([6.0616])
tensor([ 0.4173, -0.9038]) 	 tensor([8.1164])
tensor([-0.3920,  0.6413]) 	 tensor([1.2354])
tensor([0.2629, 1.4645]) 	 tensor([-0.2622])
tensor([-0.9574,  0.2994]) 	 tensor([1.2712])
tensor([0.1855, 1.1598]) 	 tensor([0.6410])
tensor([-0.6024, -1.4182]) 	 tensor([7.8118])
tensor([-1.6677,  0.6061]) 	 tensor([-1.2012])
tensor([-0.3011,  0.3443]) 	 tensor([2.4063])
tensor([-1.3054,  0.3491]) 	 tensor([0.4023])
tensor([-0.0558, -0.5624]) 	 tensor([6.0030])
tensor([0.6291, 1.2325]) 	 tensor([1.2904])
tensor([-1.0068,  0.5680]) 	 tensor([0.2548])
tensor([-0.9128, -0.0082]) 	 tensor([2.4020])
tensor([ 1.4140, -0.9763]) 	 tensor([10.3612])
tensor([-1.3596,  0.2516]) 	 tensor([0.6185])
tensor([-0.5136, -0.3795]) 	 tensor([4.4670])
tensor([-0.0884, -1.5785]) 	 tensor([9.3845])
tensor([ 0.9960, -0.3128]) 	 tensor([7.2644])
tensor([ 0.1647, -0.0483]) 	 tensor([4.6889])
tensor([ 1.3955, -2.2141]) 	 tensor([14.5132])
tensor([0.1685, 0.8843]) 	 tensor([1.5388])
tensor([ 0.6914, -0.4847]) 	 tensor([7.2271])
tensor([ 1.1425, -0.9929]) 	 tensor([9.8580])
tensor([-1.2755,  0.9724]) 	 tensor([-1.6600])
tensor([ 0.1882, -0.2028]) 	 tensor([5.2567])
tensor([0.3982, 0.1029]) 	 tensor([4.6522])
tensor([-0.9459,  0.6757]) 	 tensor([0.0188])
tensor([-0.2892, -1.0738]) 	 tensor([7.2694])
tensor([-0.9346,  1.1053]) 	 tensor([-1.4151])
tensor([0.6013, 0.8059]) 	 tensor([2.6600])
tensor([0.7600, 2.3227]) 	 tensor([-2.1725])
tensor([ 1.7471, -0.9841]) 	 tensor([11.0309])
tensor([-2.1649,  1.7589]) 	 tensor([-6.0919])
tensor([-0.4646,  0.1399]) 	 tensor([2.8141])
tensor([-0.6353, -1.3870]) 	 tensor([7.6504])
tensor([ 0.7817, -0.8342]) 	 tensor([8.5907])
tensor([-1.3084,  0.3952]) 	 tensor([0.2517])
tensor([-0.0452,  0.1199]) 	 tensor([3.7225])
tensor([-0.0244,  0.3919]) 	 tensor([2.8160])
tensor([-0.4239, -0.3708]) 	 tensor([4.5955])
tensor([ 0.6836, -1.3220]) 	 tensor([10.0435])
tensor([-1.3588, -0.0076]) 	 tensor([1.5237])
tensor([-0.9471,  0.5611]) 	 tensor([0.4008])
tensor([-1.2333,  2.9559]) 	 tensor([-8.3285])
tensor([-0.5199,  1.0567]) 	 tensor([-0.4303])
tensor([0.1188, 0.7108]) 	 tensor([2.0261])
tensor([-0.9152, -0.7140]) 	 tensor([4.8025])
tensor([1.0386, 0.2974]) 	 tensor([5.2709])
tensor([-1.0802,  1.3397]) 	 tensor([-2.5130])
tensor([1.6993, 0.7879]) 	 tensor([4.9320])
tensor([-0.0846,  0.1965]) 	 tensor([3.3385])
tensor([-0.2680,  2.6648]) 	 tensor([-5.4016])
tensor([-0.4719, -1.0479]) 	 tensor([6.8180])
tensor([-0.4377,  1.1311]) 	 tensor([-0.5317])
tensor([-0.7303,  0.6710]) 	 tensor([0.4726])
tensor([-0.4879, -0.9197]) 	 tensor([6.3494])
tensor([0.6278, 0.5106]) 	 tensor([3.7221])
tensor([0.1068, 1.3831]) 	 tensor([-0.2946])
tensor([1.2868, 1.3195]) 	 tensor([2.3011])
tensor([1.5810, 1.2928]) 	 tensor([2.9712])
tensor([ 1.3758, -1.0785]) 	 tensor([10.6221])
tensor([0.6678, 0.4294]) 	 tensor([4.0614])
tensor([ 2.6494, -1.9995]) 	 tensor([16.3170])
tensor([-0.0568, -0.6550]) 	 tensor([6.3093])
tensor([-0.5182, -0.3635]) 	 tensor([4.3887])
tensor([ 1.0522, -1.1516]) 	 tensor([10.2196])
tensor([-0.7515,  1.2089]) 	 tensor([-1.4175])
tensor([1.3244, 0.6127]) 	 tensor([4.7626])
tensor([-0.4584,  0.4095]) 	 tensor([1.8741])
tensor([0.3447, 0.0879]) 	 tensor([4.5782])
tensor([-0.1721, -1.5274]) 	 tensor([9.0550])
tensor([0.0464, 1.3916]) 	 tensor([-0.4344])
tensor([ 0.4748, -0.8618]) 	 tensor([8.0865])
tensor([1.3159, 0.8247]) 	 tensor([4.0101])
tensor([-0.9726, -0.3165]) 	 tensor([3.3412])
tensor([-1.2631,  0.7388]) 	 tensor([-0.8315])
tensor([-0.5116, -1.2138]) 	 tensor([7.3023])
tensor([-1.2041, -1.2477]) 	 tensor([6.0159])
tensor([ 0.9425, -0.0145]) 	 tensor([6.1314])
tensor([-2.3372, -0.7976]) 	 tensor([2.2417])
tensor([-0.9316, -1.2180]) 	 tensor([6.4551])
tensor([0.7138, 0.1576]) 	 tensor([5.0930])
tensor([1.5408, 0.5382]) 	 tensor([5.4616])
tensor([0.7856, 0.2336]) 	 tensor([4.9728])
tensor([-0.9681,  0.7877]) 	 tensor([-0.4070])
tensor([-0.5839,  0.2336]) 	 tensor([2.2283])
tensor([-1.0783, -1.9474]) 	 tensor([8.6541])
tensor([ 0.5023, -1.4236]) 	 tensor([10.0506])
tensor([-0.1515, -0.3114]) 	 tensor([4.9658])
tensor([0.5364, 0.7486]) 	 tensor([2.7319])
tensor([-0.9251, -1.0688]) 	 tensor([5.9966])
tensor([0.5687, 0.5957]) 	 tensor([3.3326])
tensor([1.6247, 0.2975]) 	 tensor([6.4268])
tensor([-0.0907,  3.3249]) 	 tensor([-7.2884])
tensor([-0.3159,  0.6877]) 	 tensor([1.2129])
tensor([ 0.9968, -0.0969]) 	 tensor([6.5069])
tensor([-0.5738,  1.0368]) 	 tensor([-0.4690])
tensor([ 0.5454, -0.3518]) 	 tensor([6.4790])
tensor([-0.1543, -1.1305]) 	 tensor([7.7142])
tensor([ 1.0522, -2.3747]) 	 tensor([14.3744])
tensor([0.4406, 0.3362]) 	 tensor([3.9348])
tensor([-1.9545, -0.6210]) 	 tensor([2.4078])
tensor([2.4673, 1.1401]) 	 tensor([5.2721])
tensor([0.9578, 1.9493]) 	 tensor([-0.5100])
tensor([-0.7754,  2.2748]) 	 tensor([-5.0794])
tensor([-0.0348,  0.1791]) 	 tensor([3.5134])
tensor([0.8314, 1.2005]) 	 tensor([1.7920])
tensor([-0.7217,  1.8777]) 	 tensor([-3.6426])
tensor([-1.0984, -0.6902]) 	 tensor([4.3460])
tensor([-1.1240,  0.6352]) 	 tensor([-0.2066])
tensor([ 0.7227, -1.2470]) 	 tensor([9.8733])
tensor([-0.2793, -2.0669]) 	 tensor([10.6801])
tensor([0.9818, 1.0332]) 	 tensor([2.6517])
tensor([-0.4911, -0.1290]) 	 tensor([3.6764])
tensor([-0.7325,  0.8965]) 	 tensor([-0.3072])
tensor([-1.3299,  0.4522]) 	 tensor([-0.0094])
tensor([1.1360, 0.1982]) 	 tensor([5.7966])
tensor([ 0.3535, -1.7891]) 	 tensor([10.9964])
tensor([-1.2455, -0.0242]) 	 tensor([1.7806])
tensor([-0.6109, -0.6145]) 	 tensor([5.0676])
tensor([0.6157, 0.0192]) 	 tensor([5.3901])
tensor([ 0.6383, -1.1115]) 	 tensor([9.2694])
tensor([0.6722, 0.4163]) 	 tensor([4.1186])
tensor([-0.9649, -2.2739]) 	 tensor([10.0031])
tensor([ 1.7456, -0.5694]) 	 tensor([9.6263])
tensor([-1.3588,  0.0165]) 	 tensor([1.4226])
tensor([ 0.5888, -0.7108]) 	 tensor([7.8157])
tensor([-1.1568, -1.2032]) 	 tensor([5.9751])
tensor([-1.7198,  0.7686]) 	 tensor([-1.8581])
tensor([-0.8877,  0.6834]) 	 tensor([0.0942])
tensor([ 0.7267, -0.5806]) 	 tensor([7.6333])
tensor([ 0.1912, -0.1182]) 	 tensor([4.9722])
tensor([0.6252, 1.5612]) 	 tensor([0.1423])
tensor([ 0.5735, -0.5323]) 	 tensor([7.1573])
tensor([-0.9622, -0.0331]) 	 tensor([2.3866])
tensor([-0.2116, -0.5823]) 	 tensor([5.7535])
tensor([-0.3009,  1.9693]) 	 tensor([-3.1079])
tensor([-1.5349,  0.8876]) 	 tensor([-1.8823])
tensor([0.4565, 1.3180]) 	 tensor([0.6354])
tensor([ 1.6945, -0.6318]) 	 tensor([9.7469])
tensor([-1.5852,  0.4989]) 	 tensor([-0.6589])
tensor([-0.4387, -0.4894]) 	 tensor([4.9611])
tensor([ 0.9069, -0.0065]) 	 tensor([6.0194])
tensor([0.3029, 0.5182]) 	 tensor([3.0490])
tensor([ 1.3528, -0.0482]) 	 tensor([7.0726])
tensor([-1.0951,  0.5610]) 	 tensor([0.1235])
tensor([0.0626, 1.8365]) 	 tensor([-1.9208])
tensor([-2.3423, -1.7024]) 	 tensor([5.2867])
tensor([0.2005, 0.2512]) 	 tensor([3.7251])
tensor([0.9552, 1.0542]) 	 tensor([2.5234])
tensor([-1.3455,  0.0950]) 	 tensor([1.1570])
tensor([-0.3237,  0.7620]) 	 tensor([0.9596])
tensor([-0.0214, -0.6239]) 	 tensor([6.2920])
tensor([-0.5890,  0.4439]) 	 tensor([1.5032])
tensor([0.0052, 1.1078]) 	 tensor([0.4449])
tensor([ 0.8561, -0.4913]) 	 tensor([7.5752])
tensor([-0.7576, -0.2081]) 	 tensor([3.3896])
tensor([ 1.8325, -0.6744]) 	 tensor([10.1455])
tensor([-2.3432,  0.5361]) 	 tensor([-2.3181])
tensor([-0.6613, -0.9430]) 	 tensor([6.1022])
tensor([-0.0886, -1.3717]) 	 tensor([8.6688])
tensor([0.8816, 1.1370]) 	 tensor([2.0922])
tensor([-0.4521, -1.3944]) 	 tensor([8.0522])
tensor([ 2.1465, -0.6496]) 	 tensor([10.7109])
tensor([-1.2935,  0.1449]) 	 tensor([1.1139])
tensor([-0.1147, -1.6447]) 	 tensor([9.5598])
tensor([-0.0530, -1.8848]) 	 tensor([10.5097])
tensor([-1.8195, -0.1112]) 	 tensor([0.9352])
tensor([ 2.3439, -2.7794]) 	 tensor([18.3472])
tensor([ 0.9899, -0.4698]) 	 tensor([7.7726])
tensor([-0.1894,  0.0012]) 	 tensor([3.8306])
tensor([0.3515, 0.1185]) 	 tensor([4.5094])
tensor([-0.5257, -1.1760]) 	 tensor([7.1540])
tensor([-0.4028,  0.7984]) 	 tensor([0.6734])
tensor([ 0.9275, -0.0619]) 	 tensor([6.2528])
tensor([ 0.4003, -2.0517]) 	 tensor([11.9777])
tensor([0.5272, 0.0239]) 	 tensor([5.1840])
tensor([-0.5046, -0.0512]) 	 tensor([3.3702])
tensor([-3.0768, -0.3858]) 	 tensor([-0.6484])
tensor([ 1.1433, -1.2081]) 	 tensor([10.6008])
tensor([-0.3336,  1.5754]) 	 tensor([-1.8349])
tensor([-0.1473,  1.0361]) 	 tensor([0.3672])
tensor([-0.3178,  1.8856]) 	 tensor([-2.8354])
tensor([-0.3318,  0.7355]) 	 tensor([1.0477])
tensor([0.9986, 1.5354]) 	 tensor([0.9511])
tensor([-0.4675, -0.4145]) 	 tensor([4.6579])
tensor([-0.7130,  1.4752]) 	 tensor([-2.2557])
tensor([0.3084, 1.0691]) 	 tensor([1.2039])
tensor([-0.3723, -1.7505]) 	 tensor([9.4298])
tensor([ 1.8343, -1.4793]) 	 tensor([12.9081])
tensor([1.1993, 0.0994]) 	 tensor([6.2534])
tensor([ 1.7132, -2.1697]) 	 tensor([14.9962])
tensor([-1.3468, -0.4063]) 	 tensor([2.8864])
tensor([-0.4010,  0.2072]) 	 tensor([2.6879])
tensor([ 1.0828, -1.0059]) 	 tensor([9.7718])
tensor([1.0815, 0.0516]) 	 tensor([6.1861])
tensor([-0.5011,  1.7222]) 	 tensor([-2.6732])
tensor([-1.1547, -1.5737]) 	 tensor([7.2408])
tensor([0.8362, 0.6230]) 	 tensor([3.7594])
tensor([-0.2936,  0.2645]) 	 tensor([2.7010])
tensor([ 0.7328, -0.0698]) 	 tensor([5.9133])
tensor([ 0.3431, -1.3854]) 	 tensor([9.5826])
tensor([1.1464, 0.7024]) 	 tensor([4.0955])
tensor([ 0.3123, -0.6199]) 	 tensor([6.9204])
tensor([-0.1770, -1.2117]) 	 tensor([7.9757])
tensor([-0.6414,  1.9514]) 	 tensor([-3.7158])
tensor([-1.1840, -0.9913]) 	 tensor([5.2107])
tensor([-0.0749, -0.9131]) 	 tensor([7.1675])
tensor([ 0.6781, -0.8611]) 	 tensor([8.4907])
tensor([ 2.8381, -1.1420]) 	 tensor([13.7645])
tensor([-0.6936,  0.7539]) 	 tensor([0.2527])
tensor([ 1.4866, -0.0909]) 	 tensor([7.4908])
tensor([ 0.2162, -0.1466]) 	 tensor([5.1282])
tensor([-0.8297, -0.0071]) 	 tensor([2.5558])
tensor([1.3874, 0.9370]) 	 tensor([3.7795])
tensor([-0.4540, -0.7295]) 	 tensor([5.7921])
tensor([ 1.3426, -0.7773]) 	 tensor([9.5227])
tensor([0.8648, 1.5353]) 	 tensor([0.7113])
tensor([-0.6586,  0.0718]) 	 tensor([2.6380])
tensor([-1.2693, -1.8507]) 	 tensor([7.9649])
tensor([-0.4291, -1.2637]) 	 tensor([7.6370])
tensor([-0.0474, -1.2258]) 	 tensor([8.2899])
tensor([-1.9284,  0.4335]) 	 tensor([-1.1281])
tensor([-1.0976,  0.0391]) 	 tensor([1.8870])
tensor([0.7665, 0.2417]) 	 tensor([4.9119])
tensor([-0.9624,  1.2624]) 	 tensor([-2.0058])
tensor([ 0.0348, -1.6232]) 	 tensor([9.8007])
tensor([-0.4139, -1.3331]) 	 tensor([7.9053])
tensor([-0.3923, -1.1017]) 	 tensor([7.1602])
tensor([0.4987, 0.7708]) 	 tensor([2.5894])
tensor([-2.0975, -0.2218]) 	 tensor([0.7589])
tensor([-0.6274,  0.0547]) 	 tensor([2.7572])
tensor([1.3339, 0.7505]) 	 tensor([4.3131])
tensor([-1.0000, -0.3994]) 	 tensor([3.5759])
tensor([0.0434, 0.6034]) 	 tensor([2.2527])
tensor([-1.1500,  0.6280]) 	 tensor([-0.2280])
tensor([-0.8034,  0.5219]) 	 tensor([0.8115])
tensor([ 1.1800, -0.2350]) 	 tensor([7.3586])
tensor([ 0.9799, -0.2109]) 	 tensor([6.8789])
tensor([-1.6292, -1.9492]) 	 tensor([7.5684])
tensor([-0.2695,  0.9532]) 	 tensor([0.4231])
tensor([ 0.8677, -0.0434]) 	 tensor([6.0873])
tensor([ 0.2497, -1.5308]) 	 tensor([9.8964])
tensor([-1.3283,  0.1236]) 	 tensor([1.1335])
tensor([ 1.4508, -1.2860]) 	 tensor([11.4677])
tensor([1.3167, 0.0163]) 	 tensor([6.7739])
tensor([ 0.5675, -0.5524]) 	 tensor([7.2228])
tensor([-1.4180, -2.3852]) 	 tensor([9.4716])
tensor([-0.3705,  1.2083]) 	 tensor([-0.6378])
tensor([ 0.3629, -0.4360]) 	 tensor([6.4172])
tensor([-0.0344, -0.4672]) 	 tensor([5.7151])
tensor([ 1.1460, -1.5314]) 	 tensor([11.6898])
tensor([0.7653, 0.0303]) 	 tensor([5.6166])
tensor([-0.1178, -0.9344]) 	 tensor([7.1436])
tensor([-1.3731, -3.3849]) 	 tensor([12.9501])
tensor([1.7107, 0.1968]) 	 tensor([6.9417])
tensor([-1.6567, -0.7513]) 	 tensor([3.4345])
tensor([-0.1553,  0.9746]) 	 tensor([0.5809])
tensor([-0.3432, -0.0555]) 	 tensor([3.6888])
tensor([-0.7817, -0.2908]) 	 tensor([3.6487])
tensor([-1.4256,  1.0982]) 	 tensor([-2.3788])
tensor([-0.0963, -0.5830]) 	 tensor([5.9749])
tensor([ 0.3037, -0.0546]) 	 tensor([4.9899])
tensor([1.0225, 0.2052]) 	 tensor([5.5629])
tensor([-0.1123, -0.6051]) 	 tensor([6.0448])
tensor([-0.2620, -0.0910]) 	 tensor([3.9800])
tensor([ 0.9887, -1.1951]) 	 tensor([10.2369])
tensor([-0.3215, -0.5322]) 	 tensor([5.3822])
tensor([-0.9304, -0.6320]) 	 tensor([4.4858])
tensor([ 1.3999, -0.0784]) 	 tensor([7.2677])
tensor([-1.0296, -0.3454]) 	 tensor([3.3245])
tensor([0.9603, 2.7942]) 	 tensor([-3.3887])
tensor([2.1572, 0.7063]) 	 tensor([6.1106])
tensor([0.6578, 0.7224]) 	 tensor([3.0479])
tensor([2.1821, 0.2119]) 	 tensor([7.8519])
tensor([-2.7789, -0.6571]) 	 tensor([0.8684])
tensor([ 0.4498, -1.0593]) 	 tensor([8.6996])
tensor([0.9691, 0.6923]) 	 tensor([3.7898])
tensor([ 0.1105, -1.2643]) 	 tensor([8.7428])
tensor([-1.3342,  0.9676]) 	 tensor([-1.7553])
tensor([-0.3624, -0.0850]) 	 tensor([3.7654])
tensor([ 0.7681, -0.7721]) 	 tensor([8.3618])
tensor([0.8139, 0.4116]) 	 tensor([4.4107])
tensor([-0.4202, -0.2426]) 	 tensor([4.1871])
tensor([-1.3405,  2.5567]) 	 tensor([-7.1525])
tensor([-0.4570, -0.3434]) 	 tensor([4.4391])
tensor([-0.6146,  1.9250]) 	 tensor([-3.5916])
tensor([-0.0996, -2.3039]) 	 tensor([11.8413])
tensor([1.5380, 0.2158]) 	 tensor([6.5668])
tensor([-0.5482, -0.3343]) 	 tensor([4.2489])
tensor([-1.5356, -0.0104]) 	 tensor([1.1741])
tensor([1.8784, 1.2993]) 	 tensor([3.5487])
tensor([-0.6105,  0.8945]) 	 tensor([-0.0679])
tensor([-0.9922,  2.2400]) 	 tensor([-5.4173])
tensor([-1.9947, -0.4662]) 	 tensor([1.7992])
tensor([ 0.6490, -0.4323]) 	 tensor([6.9771])
tensor([0.0494, 0.3365]) 	 tensor([3.1622])
tensor([0.7117, 1.0851]) 	 tensor([1.9316])
tensor([-0.6912,  0.7210]) 	 tensor([0.3618])
tensor([0.5453, 0.8297]) 	 tensor([2.4908])
tensor([1.7699, 1.2919]) 	 tensor([3.3384])
tensor([-1.0632,  0.5725]) 	 tensor([0.1175])
tensor([ 0.9849, -0.7493]) 	 tensor([8.7082])
tensor([ 0.2497, -1.4000]) 	 tensor([9.4744])
tensor([0.1888, 0.7746]) 	 tensor([1.9552])
tensor([ 0.6423, -0.4256]) 	 tensor([6.9538])
tensor([-0.6466,  0.5578]) 	 tensor([1.0061])
tensor([0.5236, 0.5898]) 	 tensor([3.2384])
